t_ms,true_x,true_y,yaw_deg,map_x,map_y,fused_x,fused_y,enc_x,enc_y,enc_w,imu_ok,seg,auto_state,route_complete,front_cm,left_cm,out_vx,out_vy,map_lim,front_lim,left_lim,clearance,odom_err
11310,2.7310,1.7665,0.00,2.5871,2.5519,2.2111,2.2435,2.2088,2.2448,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.7984
11320,2.7310,1.7665,0.00,2.5872,2.5579,2.2111,2.2495,2.2088,2.2508,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.8044
11330,2.7310,1.7665,0.00,2.5872,2.5639,2.2111,2.2555,2.2088,2.2567,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.8103
11340,2.7310,1.7665,0.00,2.5873,2.5700,2.2112,2.2615,2.2088,2.2627,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.8162
11350,2.7310,1.7665,0.00,2.5874,2.5760,2.2112,2.2675,2.2088,2.2687,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.8221
11360,2.7310,1.7665,0.00,2.5874,2.5820,2.2112,2.2735,2.2088,2.2746,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.8281
11370,2.7310,1.7665,0.00,2.5875,2.5880,2.2113,2.2795,2.2088,2.2806,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.8340
11380,2.7310,1.7665,0.00,2.5875,2.5941,2.2113,2.2855,2.2088,2.2866,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.8399
11390,2.7310,1.7665,0.00,2.5876,2.6001,2.2113,2.2915,2.2088,2.2925,0.500,1,3,5,0,0,0,0,75,0,0,0,0.000,0.8458
11400,2.7310,1.7665,0.00,2.5876,2.6061,2.2113,2.2975,2.2088,2.2985,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.8518
11410,2.7310,1.7665,0.00,2.5877,2.6121,2.2114,2.3035,2.2088,2.3044,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.8577
11420,2.7310,1.7665,0.00,2.5877,2.6181,2.2114,2.3093,2.2088,2.3101,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.8635
11430,2.7310,1.7665,0.00,2.5878,2.6238,2.2114,2.3149,2.2088,2.3156,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.8692
11440,2.7310,1.7665,0.00,2.5878,2.6294,2.2115,2.3204,2.2088,2.3208,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.8747
11450,2.7310,1.7665,0.00,2.5879,2.6347,2.2115,2.3256,2.2088,2.3259,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.8799
11460,2.7310,1.7665,0.00,2.5880,2.6399,2.2115,2.3306,2.2088,2.3308,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.8850
11470,2.7310,1.7665,0.00,2.5880,2.6448,2.2115,2.3355,2.2088,2.3355,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.8899
11480,2.7310,1.7665,0.00,2.5881,2.6495,2.2116,2.3401,2.2088,2.3400,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.8945
11490,2.7310,1.7665,0.00,2.5881,2.6541,2.2116,2.3445,2.2088,2.3443,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.8990
11500,2.7310,1.7665,0.00,2.5882,2.6584,2.2116,2.3488,2.2088,2.3484,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.9033
11510,2.7310,1.7665,0.00,2.5882,2.6626,2.2117,2.3528,2.2088,2.3522,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.9074
11520,2.7310,1.7665,0.00,2.5883,2.6665,2.2117,2.3567,2.2088,2.3559,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.9113
11530,2.7310,1.7665,0.00,2.5883,2.6703,2.2117,2.3603,2.2088,2.3594,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.9150
11540,2.7310,1.7665,0.00,2.5884,2.6738,2.2117,2.3637,2.2088,2.3627,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.9185
11550,2.7310,1.7665,0.00,2.5884,2.6772,2.2118,2.3670,2.2088,2.3658,0.500,1,3,5,0,0,0,0,0,0,0,0,0.000,0.9218
